mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,tempo,energy,centroid,mood
-113.619385,121.55302,-19.151058,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973775,-8.32241,8.8067875,-3.665802,5.745939,-5.161711,0.75029784,-1.6883581,-0.40932855,-2.298869,1.2199471,123.046875,0.13019199669361115,1784.416545970319,Sad
-207.58151,123.99715,8.939115,35.870758,2.9199705,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.375942,-2.237833,4.217125,-6.0110474,0.9326681,-0.7170279,0.29233328,-0.28571686,0.53214425,67.99958881578948,0.09589168429374695,1529.8713140945188,Sad
-90.77634,140.44861,-29.10056,31.68734,-13.975973,25.741686,-13.644712,11.623112,-11.775921,9.700466,-13.115349,5.7857637,-8.899733,-1.0870236,-9.216774,2.4536483,-7.721793,-1.8164973,-3.4343534,-2.2313912,161.4990234375,0.17549368739128113,1552.6377863181906,Sad
-199.462,150.09473,5.649167,26.870144,1.7554406,14.23688,-4.8288727,9.297849,-0.7531419,8.147393,-3.1952362,6.0853534,-2.4761884,-1.0762246,-2.8760564,0.77690876,-3.3200552,0.6372629,-0.6175069,-3.40694,63.02400914634146,0.1411392092704773,1070.1100585189854,Sad
-160.29185,126.19576,-35.6025,22.151169,-32.48764,10.862023,-23.357162,0.50052327,-11.80477,1.2038774,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.92446774,-4.408076,-11.701833,135.99917763157896,0.09154040366411209,1835.5070084014953,Sad
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.9401843,-11.773799,-2.426076,-9.342486,-9.947082,-3.9053469,-5.568541,-1.839969,-2.7841752,-3.0461123,-8.115228,69.83741554054055,0.10343772172927856,1831.9900685948742,Sad
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963725,-20.882357,0.27711606,-6.5008707,-5.5156236,-7.8452897,-3.123599,-6.595716,-9.947577,-6.540925,-10.071381,-10.912119,-6.970003,-3.4485128,-6.498458,71.77734375,0.14168789982795715,1459.0353761872718,Sad
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.4690983,-8.414114,-6.956976,-3.548349,-8.051682,-8.9604845,-8.421077,-10.5585985,-10.790194,-4.7007947,-8.638816,92.28515625,0.13174523413181305,1451.8494584581754,Sad
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.82594,21.173412,-6.7202907,7.0050187,-12.739909,5.064209,-5.173075,-1.446995,-7.0369287,2.6948745,3.4093323,-2.6991909,83.35433467741936,0.1423606276512146,1719.2739373344168,Sad
-213.20453,115.15454,-11.720504,39.032555,-20.357819,13.089926,-9.180816,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368734,-5.114481,-0.4145369,-1.1848989,-1.9183391,-2.2957962,2.89123,-4.2345333,80.74951171875,0.08132097870111465,1817.5295464146707,Sad
-173.71587,137.14024,-23.767647,26.99174,-16.687662,4.2143745,-12.582618,5.8545594,-2.884673,-1.1866812,-1.9771541,1.800155,-3.0044115,-1.8699358,-0.79626834,-3.0132642,-0.43592522,-2.00181,-0.74663854,-5.001238,161.4990234375,0.14286480844020844,1410.6753570562125,Sad
-287.92355,123.97102,5.4561224,33.684544,1.0892011,14.704721,-4.898606,8.6532755,0.7827978,6.5667357,-4.87944,-3.1806588,-5.5570035,-6.786621,-2.644233,-2.9824314,-3.3811383,-1.8614974,1.8359205,-4.8965116,161.4990234375,0.06568456441164017,1353.3291189300635,Sad
-207.20874,132.79709,-15.460706,60.99486,0.7102412,12.461279,1.1609277,-1.5278946,-17.901815,8.369234,-2.4538186,-0.59668875,0.36881647,2.6052277,-5.193015,-9.530149,-9.2374,-2.8406758,-1.4114445,-5.9310284,184.5703125,0.1190238893032074,1361.1004062354928,Sad
-209.7822,124.46592,10.285805,47.030174,6.4823856,15.417021,-2.0100777,6.735786,-21.54862,10.7284975,-5.532432,-2.202038,-3.051727,8.644019,-0.31084576,-0.6361448,-2.9359381,-1.706597,-1.7654228,-7.755964,107.666015625,0.1131889671087265,1324.3317542217217,Sad
-305.69858,113.04164,12.114901,45.039444,17.739239,14.59463,4.1571283,0.24009785,-7.013088,13.649843,8.923058,1.3016899,5.9521284,8.542282,1.1171257,0.5882187,0.06007768,-3.706519,-1.0018837,-1.8044137,151.99908088235293,0.06693624705076218,1172.2763008557504,Sad
-238.53304,120.08829,-4.2245555,42.310043,5.9163294,13.914182,5.3575773,1.9037088,-16.92988,12.33931,3.9409604,-1.3906769,0.014792168,3.5804958,-4.5049934,-5.541951,-6.8830776,-4.8263903,1.7385828,-1.8840166,103.359375,0.08063894510269165,1420.4114787701458,Sad
-233.79489,120.66705,-3.1675608,39.53927,3.858855,18.839672,-3.6889172,4.4318447,-14.975374,17.571033,1.8447447,2.5386066,-1.2386856,8.439363,-0.20983854,-3.9067852,-4.478641,-0.012232258,1.2932649,-2.0874293,198.76802884615384,0.08141902089118958,1455.0424713768248,Sad
-245.75414,140.48093,-2.771439,60.42012,18.9254,9.837099,3.566577,0.53618747,-16.367361,6.6298547,7.269149,-4.015731,1.6074536,5.898682,-3.0176077,-4.7748995,-3.02707,-1.9985329,-0.058759045,-3.9718897,172.265625,0.09325911104679108,1088.7781161784512,Sad
-252.51877,104.93698,15.316828,42.673477,6.7626176,21.623577,-1.3132769,5.691933,-16.619516,12.161626,-1.96795,1.9697651,-0.8889585,7.771046,2.3869514,1.7799876,1.3449866,3.6371133,4.9108076,-2.6554036,83.35433467741936,0.07964064180850983,1537.56091926741,Sad
-236.6889,138.40428,-4.923575,47.647713,5.152376,8.895284,0.4828563,-3.801668,-14.974891,10.432587,-0.3539615,0.78834563,1.7829303,4.230211,-0.47101685,-6.105654,-5.387077,-1.3430607,-3.722793,-4.3624997,123.046875,0.09763429313898087,1195.4133983085592,Sad
-230.42657,127.100525,7.145355,39.784317,1.9449425,17.40534,-5.639429,8.25213,-18.104385,13.842513,-3.760913,2.5718598,-4.3208055,6.8123913,-6.1598387,-6.2154546,-4.5115924,-1.8506044,-0.5394866,1.504397,135.99917763157896,0.07535404711961746,1389.9522837601053,Sad
-264.67847,138.85834,11.156023,48.538254,14.895925,20.584368,3.2051423,1.262588,-15.847021,15.986576,3.3616717,-1.5137409,1.8921548,6.3119216,-0.9948621,-2.4167242,-3.684751,0.4993974,5.0507474,-0.7867031,99.38401442307692,0.10111809521913528,1046.7275070203577,Sad
-233.85751,136.17209,3.2713182,48.931213,8.685134,13.97951,5.3548675,0.39087027,-13.504575,16.856106,5.130938,-2.23188,3.9640331,5.318362,0.8122656,-1.0979142,-4.539752,-2.434786,3.313449,-0.6142795,95.703125,0.11343149840831757,1156.202363121508,Sad
-227.26886,137.7307,-14.493466,63.555702,5.612641,11.984639,1.8855519,-1.8633765,-7.6205554,-2.4471743,-2.8867247,-9.429529,-10.923913,3.562558,4.1377068,0.09554376,-2.9725447,-1.378875,7.541176,-3.0374627,184.5703125,0.1019149050116539,1210.4571260262846,Sad
-274.31186,130.41371,-6.3928003,70.405014,13.269141,9.461284,7.7256403,-1.247491,-0.57758856,-2.3025882,3.783147,0.084823325,-0.93943596,2.2965147,4.2883782,-1.6618618,-10.444595,-6.7975335,-1.0660517,-1.5959948,103.359375,0.08696161210536957,1120.3909802285903,Sad
-249.2894,130.98703,0.67739,66.68578,17.897806,4.623737,6.5983076,1.24905,1.4163893,-1.579142,-0.962663,-3.5719957,-2.9279816,4.596818,7.478901,-0.18313693,-2.825327,-2.6788447,0.74854714,-0.5342603,92.28515625,0.08917960524559021,1109.721378629315,Sad
-284.69736,108.8052,9.088283,51.22274,18.091755,7.612261,8.779499,2.362829,0.005786246,2.2509663,4.205099,-3.2933176,1.6082983,2.6657817,3.3244853,3.260079,-4.558311,0.47801885,5.929787,3.2283406,83.35433467741936,0.07693855464458466,1198.7544985722175,Sad
-228.25066,130.3444,-23.29129,70.1721,1.1422709,7.6024485,0.90993816,1.9782512,-6.167008,-9.396024,-2.5628405,-4.5228944,-0.26295036,0.17933396,-1.5074475,1.4652519,-6.9718475,-8.32218,4.2389526,0.98148614,92.28515625,0.09572528302669525,1391.4439037459135,Sad
-248.98674,139.0672,-16.2825,57.117985,20.192654,10.188038,4.5439763,0.33127913,-7.8779507,-3.4479153,-2.646489,-2.8313823,-0.9021665,-2.4017205,2.567503,-5.855444,-12.398049,-7.310066,-0.9439507,-2.6873753,103.359375,0.09958247095346451,1115.5411952519341,Sad
-233.75082,101.178276,17.649767,23.733776,2.0820332,25.941923,-16.958849,15.098034,-22.278715,4.3951225,-23.207403,-6.057175,-5.068857,1.0673921,-5.785368,-8.311131,-11.389136,-6.72795,-10.025586,-14.032895,129.19921875,0.12466930598020554,1649.2877536970093,Sad
-206.96808,117.792984,23.23588,28.297827,-1.1239152,18.862036,-21.949682,17.849985,-25.585644,2.1299253,-17.794416,-8.015903,-17.607277,-8.139437,-8.648127,-15.528326,-15.317337,-9.66383,-10.0986805,-17.833733,151.99908088235293,0.1700301468372345,1378.9657764881297,Sad
-221.83113,110.83949,18.616821,30.920137,3.295923,22.587362,-20.416351,12.118738,-26.350498,-4.3674846,-26.413198,-13.045098,-12.654766,-1.8243437,-7.258695,-6.661086,-14.686605,-11.720062,-11.023767,-13.388401,151.99908088235293,0.15153230726718903,1331.0365912698594,Sad
-288.8077,105.89604,18.777039,23.710392,5.7118816,25.549088,-13.47376,12.428973,-11.942034,1.5714257,-15.63591,-6.6506157,-11.713253,-2.9383888,-7.3725805,-15.697483,-10.9741535,-10.8895445,-18.505476,-19.103352,143.5546875,0.10115690529346466,1309.6646971460593,Sad
-239.03807,108.65722,34.15189,30.23917,-0.47574335,27.292637,-21.379398,14.150509,-24.510178,-1.8840462,-28.050291,-11.25665,-16.47693,-7.637185,-12.799123,-15.357241,-13.729804,-7.3977785,-10.089319,-13.291538,151.99908088235293,0.13312429189682007,1430.5981944868504,Sad
-217.23868,105.792366,15.617069,25.256382,-1.4402744,30.18982,-17.71522,17.318172,-27.209526,4.339167,-20.059492,-10.695945,-14.220667,-5.1562176,-3.473266,-6.189413,-15.326929,-6.845921,-9.82767,-13.943093,184.5703125,0.13591797649860382,1536.7310778930728,Sad
