filename,mood
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00000.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00001.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00002.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00003.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00004.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00005.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00006.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00007.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00008.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00009.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00010.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00011.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00012.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00013.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00014.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00015.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00016.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00017.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00018.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00019.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00020.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00021.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00022.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00023.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00024.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00025.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00026.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00027.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00028.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00029.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00030.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00031.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00032.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00033.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00034.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00035.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00036.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00037.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00038.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00039.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00040.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00041.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00042.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00043.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00044.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00045.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00046.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00047.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00048.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00049.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00050.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00051.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00052.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00053.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00054.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00055.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00056.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00057.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00058.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00059.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00060.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00061.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00062.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00063.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00064.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00065.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00066.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00067.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00068.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00069.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00070.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00071.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00072.wav,Sad
C:\Users\orial\OneDrive\Desktop\archive\Data\genres_original\blues\blues.00073.wav,Sad
